quote	source
"As engineers, we were going to be in a position to change the worldnot just study it."	Henry Petroski
The scientist discovers a new type of material or energy & the engineer discovers a new use for it.	Gordon Lindsay Glegg
This job is a great scientific adventure. But it’s also a great human adventure.	Fabiola Gianotti
"Science can amuse & fascinate us all, but it is engineering that changes the world."	Isaac Asimov
"The engineer has been, & is, a maker of history."	James Kip Finch
Scientists study the world as it is; engineers create the world that has never been.	Theodore von Karman
The way to succeed is to double your failure rate.	Thomas J. Watson
"Strive for perfection in everything you do. Take the best that exists & make it better. When it does not exist, design it."	Sir Henry Royce
We are continually faced by great opportunities brilliantly disguised as insoluble problems.	Lee Iacocca
"Manufacturing is more than just putting parts together. It’s coming up with ideas, testing principles & perfecting the engineering as well as final assembly."	James Dyson
A good scientist is a person with original ideas. A good engineer is a person who makes a design that works with as few ideas as possible. There are no prima donnas in engineering.	Freeman Dyson
I don’t spend my time pontificating about high-concept things; I spend my time-solving engineering & manufacturing problems.	Elon Musk
"Normal people believe that if it ain’t broke, don’t fix it. Engineers believe that if it ain’t broke, it doesn’t have enough features yet."	Scott Adams
"Any idiot can build a bridge that st&s, but it takes an engineer to build a bridge that barely st&s."	Anonymous
We are continually faced by great opportunities brilliantly disguised as insoluble problems.	Lee Iacocca
"To the optimist, the glass is half full. To the pessimist, the glass is half empty. To the engineer, the glass is twice as big as it needs to be"	Anonymous
One has to watch out for engineersthey begin with the sewing machine & end up with the atomic bomb.	Marcel Pagnol
"Science can amuse & fascinate us all, but it is engineering that changes the world."	Isaac Asimov
"The history of engineering is really the history of breakages, & of learning from those breakages. I was taught at college ‘the engineer learns most on the scrapheap’."	C.A. Claremont
What we usually consider as impossible are simply engineering problems… there’s no law of physics preventing them.	Michio Kaku
"Engineering or technology is the making of things that did not previously exist, whereas science is the discovering of things that have long existed."	David Billington
"The story of civilization is, in a sense, the story of engineeringthat long & arduous struggle to make the forces of nature work for man’s good."	Lyon Sprague DeCamp
"Engineering or technology is the making of things that did not previously exist, whereas science is the discovering of things that have long existed."	David Billington
"Scientists study the world as it is, engineers create the world that never has been."	Theodore von Karman
"Architects & engineers are among the most fortunate of men since they build their own monuments with public consent, public approval & often public money."	John Prebble
"The engineer has been, & is, a maker of history."	James Kip Finch
Math is my Passion. Engineering is my Profession.	Wilfred James Dolor
"Manufacturing, science, & engineering are…incredibly creative. I’d venture to say more so than creative advertising agencies & things that are known as the creative industries."	Sir James Dyson
The life work of the engineer consists in the systematic application of natural forces & the systematic development of natural resources in the service of man.	Harry Walter Tyler
"Engineering refers to the practice of organizing the design & construction [&, I would add operation] of any artifice which transforms the physical world around us to meet some recognized need."	G.F.C. Rogers
The goal of science & engineering is to build better mousetraps. The goal of nature is to build better mice.	Anonymous
"There’s nothing I believe in more strongly than getting young people interested in science & engineering, for a better tomorrow, for all humankind."	Bill Nye
Scientists study the world as it is;  engineers create the world that has never been.	Theodore von Karman
A good engineer thinks in reverse & asks himself about the stylistic consequences of the components & systems he proposes.	Helmut Jahn
Engineering is the art of directing the great sources of power in nature for the use & convenience of man.	Thomas Tredgold
Engineering is the professional & systematic application of science to the efficient utilization of natural resources to produce wealth.	Theodore Jesse Hoover
	
Leadership is both something you are & something you do. A mentor is not a person who can do the work better than his followers. He is a person who can get his followers to do the work better than him.	Fred Smith
